iter	Passed	Remaining
0	54	16322
1	55	8265
2	56	5572
3	57	4223
4	57	3407
5	58	2863
6	59	2476
7	59	2184
8	60	1956
9	61	1777
10	62	1629
11	63	1512
12	63	1405
13	64	1317
14	65	1239
15	65	1169
16	66	1108
17	67	1057
18	68	1012
19	69	971
20	70	930
21	70	893
22	71	859
23	72	829
24	72	801
25	73	777
26	74	753
27	75	731
28	76	712
29	77	693
30	77	674
31	78	658
32	79	642
33	80	628
34	81	613
35	81	600
36	82	587
37	83	575
38	84	564
39	85	552
40	85	542
41	86	531
42	87	521
43	88	512
44	88	503
45	89	494
46	90	485
47	91	477
48	91	470
49	92	463
50	93	456
51	94	449
52	94	442
53	95	436
54	96	429
55	97	423
56	98	417
57	98	412
58	99	407
59	100	401
60	100	395
61	101	390
62	102	385
63	103	380
64	103	375
65	104	370
66	104	365
67	105	360
68	106	355
69	106	351
70	107	346
71	108	342
72	108	338
73	109	334
74	110	330
75	110	326
76	111	322
77	111	318
78	112	314
79	112	310
80	113	306
81	113	302
82	114	299
83	115	295
84	115	292
85	116	289
86	116	286
87	117	283
88	118	280
89	118	277
90	119	274
91	120	272
92	121	269
93	121	266
94	122	263
95	122	260
96	123	258
97	123	255
98	124	252
99	125	250
100	125	247
101	126	245
102	126	242
103	127	240
104	128	238
105	128	235
106	129	233
107	129	231
108	130	228
109	131	226
110	131	224
111	132	222
112	133	220
113	133	218
114	134	216
115	135	214
116	135	212
117	136	210
118	137	208
119	137	206
120	138	204
121	138	202
122	139	200
123	140	199
124	140	197
125	141	195
126	142	193
127	142	191
128	143	189
129	143	187
130	144	186
131	144	184
132	145	182
133	146	180
134	146	179
135	147	177
136	147	175
137	148	174
138	148	172
139	149	170
140	150	169
141	150	167
142	151	166
143	152	164
144	152	163
145	153	161
146	153	160
147	154	158
148	154	156
149	155	155
150	155	153
151	156	152
152	156	150
153	157	149
154	158	147
155	158	146
156	159	144
157	159	143
158	160	142
159	160	140
160	161	139
161	161	137
162	162	136
163	162	135
164	163	133
165	163	132
166	164	131
167	165	129
168	165	128
169	166	127
170	166	125
171	167	124
172	168	123
173	168	122
174	169	120
175	169	119
176	170	118
177	170	117
178	171	115
179	171	114
180	172	113
181	172	112
182	173	110
183	173	109
184	174	108
185	174	107
186	175	106
187	176	104
188	176	103
189	177	102
190	177	101
191	178	100
192	178	99
193	179	98
194	180	97
195	181	96
196	181	95
197	182	93
198	183	92
199	183	91
200	184	90
201	184	89
202	185	88
203	185	87
204	186	86
205	186	85
206	187	84
207	188	83
208	188	82
209	189	81
210	189	80
211	190	78
212	190	77
213	191	76
214	191	75
215	192	74
216	193	73
217	193	72
218	194	71
219	195	70
220	195	69
221	196	68
222	197	68
223	197	67
224	198	66
225	198	65
226	199	64
227	201	63
228	204	63
229	206	62
230	208	62
231	210	61
232	211	60
233	213	60
234	215	59
235	216	58
236	218	58
237	220	57
238	221	56
239	223	55
240	224	55
241	226	54
242	228	53
243	230	52
244	231	52
245	232	51
246	233	50
247	234	49
248	235	48
249	237	47
250	238	46
251	239	45
252	240	44
253	241	43
254	242	42
255	243	41
256	244	40
257	245	39
258	246	39
259	247	38
260	248	37
261	249	36
262	250	35
263	251	34
264	252	33
265	252	32
266	254	31
267	255	30
268	256	29
269	258	28
270	259	27
271	260	26
272	262	25
273	263	25
274	264	24
275	266	23
276	267	22
277	268	21
278	269	20
279	270	19
280	272	18
281	273	17
282	274	16
283	275	15
284	276	14
285	276	13
286	277	12
287	278	11
288	279	10
289	280	9
290	281	8
291	282	7
292	283	6
293	283	5
294	284	4
295	285	3
296	286	2
297	287	1
298	287	0
299	288	0
